Invoice,RegionKey,InventoryDate,SoldDate,CustomerKey,ProductKey,SoldLineNumber,SoldQuantity
35156,2,10/19/16,1/14/17,59348,9,1,1
35155,2,8/23/16,1/14/17,62066,19,1,1
35153,2,8/12/16,1/14/17,70207,60,1,1
35152,1,11/22/16,1/14/17,62006,67,1,1
35162,2,11/24/16,1/15/17,66737,14,1,1
35158,6,10/04/16,1/15/17,63008,48,1,1
35163,2,10/06/16,1/15/17,61927,66,1,1
35159,11,10/13/16,1/15/17,57033,67,1,1
35161,3,9/11/16,1/15/17,73038,6,1,1
35160,11,9/20/16,1/15/17,69740,60,1,1
35164,2,8/06/16,1/15/17,65370,11,1,1
35167,2,7/27/16,1/16/17,62115,39,1,1
35169,2,8/25/16,1/16/17,65631,39,1,1
35171,2,10/19/16,1/16/17,63639,3,1,1
35170,2,11/30/16,1/16/17,58502,33,1,1
35166,2,10/01/16,1/16/17,68065,50,1,1
35168,2,8/18/16,1/16/17,56869,26,1,1
35165,7,11/05/16,1/16/17,70135,62,1,1
35172,6,9/29/16,1/17/17,64977,47,1,1
35176,1,11/12/16,1/17/17,58523,64,1,1
35174,3,10/24/16,1/17/17,66403,21,1,1
35179,2,8/05/16,1/17/17,64167,11,1,1
35178,2,9/12/16,1/17/17,65545,52,1,1
35177,2,7/25/16,1/17/17,67310,44,1,1
35173,3,10/05/16,1/17/17,69239,16,1,1
35175,3,11/12/16,1/17/17,67666,47,1,1
35180,11,10/16/16,1/18/17,62105,19,1,1
35184,2,8/10/16,1/18/17,68429,61,1,1
35183,2,10/28/16,1/18/17,72838,14,1,1
35181,11,11/20/16,1/18/17,71946,58,1,1
35185,11,9/18/16,1/18/17,59735,65,1,1
35182,2,7/28/16,1/18/17,60328,50,1,1
35186,11,8/27/16,1/19/17,64138,10,1,1
35191,1,8/31/16,1/19/17,55896,68,1,1
35187,11,10/24/16,1/19/17,72495,35,1,1
35188,11,10/13/16,1/19/17,72625,13,1,1
35190,2,7/28/16,1/19/17,71761,73,1,1
35189,1,8/21/16,1/19/17,71813,72,1,1
35196,2,12/01/16,1/20/17,69979,7,1,1
35195,2,9/25/16,1/20/17,60929,59,1,1
35193,7,7/30/16,1/20/17,57205,72,1,1
35194,3,10/01/16,1/20/17,61965,58,1,1
35192,11,8/09/16,1/20/17,69453,35,1,1
35197,2,7/30/16,1/20/17,71049,64,1,1
35201,3,9/12/16,1/21/17,60019,62,1,1
35199,8,12/04/16,1/21/17,55656,28,1,1
35200,3,9/14/16,1/21/17,58525,59,1,1
35204,2,10/14/16,1/21/17,55118,54,1,1
35203,2,9/07/16,1/21/17,66873,52,1,1
35202,2,8/14/16,1/21/17,62283,9,1,1
35198,11,10/25/16,1/21/17,59947,23,1,1
35213,2,12/30/16,1/22/17,63479,71,1,1
35207,3,10/18/16,1/22/17,70114,56,1,1
35211,2,11/17/16,1/22/17,67784,69,1,1
35212,2,12/18/16,1/22/17,56033,52,1,1
35208,7,9/03/16,1/22/17,58905,64,1,1
35209,3,8/20/16,1/22/17,55820,11,1,1
35210,3,10/09/16,1/22/17,65714,19,1,1
35206,6,11/28/16,1/22/17,55937,75,1,1
35205,6,10/02/16,1/22/17,66804,52,1,1
35215,1,9/05/16,1/23/17,72576,7,1,1
35214,6,8/13/16,1/23/17,58853,35,1,1
35216,3,9/13/16,1/23/17,71754,62,1,1
35217,1,9/07/16,1/24/17,58970,6,1,1
35219,7,11/04/16,1/24/17,69513,68,1,1
35222,1,9/23/16,1/24/17,71300,64,1,1
35221,7,10/06/16,1/24/17,68753,39,1,1
35220,1,8/06/16,1/24/17,58026,32,1,1
35223,2,12/23/16,1/24/17,66485,53,1,1
35224,2,11/25/16,1/24/17,62074,3,1,1
35218,1,12/18/16,1/24/17,66973,56,1,1
35228,2,12/20/16,1/25/17,60471,49,1,1
35226,3,8/30/16,1/25/17,62783,35,1,1
35225,3,11/25/16,1/25/17,62284,52,1,1
35227,1,8/26/16,1/25/17,63528,34,1,1
35232,2,9/05/16,1/26/17,64235,27,1,1
35233,2,10/11/16,1/26/17,58857,15,1,1
35231,2,12/21/16,1/26/17,65083,50,1,1
35229,11,11/28/16,1/26/17,72027,17,1,1
35236,2,11/01/16,1/27/17,69234,60,1,1
35234,6,9/09/16,1/27/17,61160,27,1,1
35235,1,9/27/16,1/27/17,67510,57,1,1
35237,2,12/09/16,1/27/17,59132,61,1,1
35238,2,12/23/16,1/27/17,65686,7,1,1
35242,1,12/22/16,1/28/17,62567,68,1,1
35240,1,9/05/16,1/28/17,66049,3,1,1
35241,3,10/28/16,1/28/17,57809,35,1,1
35244,2,10/19/16,1/28/17,58874,25,1,1
35243,2,12/13/16,1/28/17,60978,23,1,1
35245,2,11/28/16,1/29/17,63886,22,1,1
35246,2,8/03/16,1/29/17,66144,30,1,1
35247,2,1/06/17,1/29/17,67396,68,1,1
35248,2,9/21/16,1/29/17,69231,69,1,1
35254,3,1/07/17,1/30/17,69970,27,1,1
35258,2,11/14/16,1/30/17,58208,17,1,1
35253,3,12/07/16,1/30/17,56772,24,1,1
35256,3,11/13/16,1/30/17,61628,51,1,1
35255,1,11/20/16,1/30/17,61575,41,1,1
35250,8,10/08/16,1/30/17,56070,26,1,1
35251,8,11/03/16,1/30/17,70153,72,1,1
35249,11,8/17/16,1/30/17,58360,27,1,1
35257,2,10/14/16,1/30/17,66203,40,1,1
35252,7,11/01/16,1/30/17,56403,71,1,1
35262,3,8/08/16,1/31/17,69935,44,1,1
35259,1,12/29/16,1/31/17,69758,52,1,1
35264,2,12/10/16,1/31/17,64066,71,1,1
35261,1,8/08/16,1/31/17,65154,8,1,1
35263,1,10/22/16,1/31/17,58461,65,1,1
35265,2,11/24/16,1/31/17,61318,64,1,1
35260,1,9/04/16,1/31/17,65003,19,1,1
35345,11,12/06/16,2/01/17,72170,23,1,1
35349,2,9/25/16,2/01/17,69516,74,1,1
35347,3,1/04/17,2/01/17,56476,57,1,1
35348,2,9/04/16,2/01/17,58249,69,1,1
35350,2,9/27/16,2/01/17,64710,52,1,1
35354,8,10/05/16,2/02/17,62743,17,1,1
35352,11,8/07/16,2/02/17,69191,35,1,1
35356,2,11/12/16,2/02/17,66425,11,1,1
35353,7,8/19/16,2/02/17,70070,54,1,1
35355,7,10/19/16,2/02/17,61622,52,1,1
35351,6,9/28/16,2/02/17,71523,44,1,1
35358,7,11/02/16,2/03/17,69189,70,1,1
35357,6,8/10/16,2/03/17,68126,69,1,1
35361,7,11/26/16,2/03/17,60063,26,1,1
35360,7,11/02/16,2/03/17,71385,61,1,1
35362,2,12/28/16,2/03/17,64545,49,1,1
35359,3,8/07/16,2/03/17,67324,53,1,1
35363,2,12/22/16,2/03/17,69739,6,1,1
35364,8,1/04/17,2/04/17,72447,21,1,1
35366,6,1/04/17,2/04/17,67508,50,1,1
35365,11,11/03/16,2/04/17,61274,19,1,1
35369,2,1/01/17,2/04/17,65807,67,1,1
35370,2,10/24/16,2/04/17,65086,44,1,1
35368,1,12/13/16,2/04/17,63781,55,1,1
35367,11,11/25/16,2/04/17,72374,52,1,1
35375,2,11/15/16,2/05/17,64251,62,1,1
35376,2,9/28/16,2/05/17,64188,25,1,1
35371,11,12/30/16,2/05/17,71853,60,1,1
35372,6,1/07/17,2/05/17,59384,45,1,1
35374,7,11/27/16,2/05/17,55776,56,1,1
35373,1,12/02/16,2/05/17,64186,7,1,1
35384,7,9/11/16,2/06/17,59618,68,1,1
35380,6,1/13/17,2/06/17,64401,3,1,1
35377,11,11/16/16,2/06/17,56054,18,1,1
35381,7,9/23/16,2/06/17,59189,69,1,1
35382,1,12/29/16,2/06/17,57104,66,1,1
35378,7,12/14/16,2/06/17,70791,13,1,1
35383,1,11/27/16,2/06/17,69857,57,1,1
35385,1,11/17/16,2/06/17,66082,10,1,1
35379,7,10/15/16,2/06/17,56006,74,1,1
35386,2,9/03/16,2/06/17,67296,33,1,1
35388,1,10/18/16,2/07/17,62419,21,1,1
35390,2,11/29/16,2/07/17,67136,63,1,1
35392,2,10/26/16,2/07/17,67128,11,1,1
35391,2,1/02/17,2/07/17,55223,54,1,1
35387,1,12/29/16,2/07/17,62788,35,1,1
35389,3,11/08/16,2/07/17,63398,26,1,1
35394,11,9/08/16,2/08/17,60896,7,1,1
35395,3,1/13/17,2/08/17,71421,63,1,1
35393,8,9/03/16,2/08/17,59910,68,1,1
35396,2,9/15/16,2/08/17,56350,65,1,1
35397,11,12/07/16,2/09/17,62255,20,1,1
35398,11,12/19/16,2/09/17,63456,58,1,1
35400,8,11/02/16,2/10/17,68033,50,1,1
35406,3,10/24/16,2/10/17,68056,73,1,1
35401,11,10/31/16,2/10/17,55858,49,1,1
35405,7,8/28/16,2/10/17,56408,49,1,1
35409,2,12/28/16,2/10/17,63055,15,1,1
35402,11,9/06/16,2/10/17,70048,13,1,1
35404,1,10/18/16,2/10/17,55940,53,1,1
35407,3,1/08/17,2/10/17,72415,67,1,1
35408,3,8/17/16,2/10/17,70896,31,1,1
35419,2,9/27/16,2/11/17,57675,15,1,1
35412,7,11/12/16,2/11/17,67784,34,1,1
35417,7,12/14/16,2/11/17,58442,26,1,1
35410,8,11/15/16,2/11/17,65025,21,1,1
35416,7,11/05/16,2/11/17,59038,50,1,1
35411,7,1/09/17,2/11/17,70719,23,1,1
35414,6,8/22/16,2/11/17,61847,31,1,1
35413,3,11/02/16,2/11/17,63807,57,1,1
35418,2,11/25/16,2/11/17,63600,7,1,1
35421,2,8/20/16,2/11/17,58315,25,1,1
35415,7,9/02/16,2/11/17,62374,45,1,1
35420,2,11/30/16,2/11/17,71851,10,1,1
35424,7,1/07/17,2/12/17,60834,19,1,1
35423,7,11/22/16,2/12/17,60446,27,1,1
35422,7,10/31/16,2/12/17,59303,65,1,1
35428,11,10/07/16,2/13/17,68895,10,1,1
35427,8,9/07/16,2/13/17,63367,65,1,1
35425,11,12/18/16,2/13/17,60398,67,1,1
35431,7,12/29/16,2/13/17,61462,25,1,1
35429,7,8/25/16,2/13/17,59690,15,1,1
35430,7,12/29/16,2/13/17,60883,38,1,1
35433,6,1/07/17,2/14/17,58156,71,1,1
35439,2,8/28/16,2/14/17,56582,59,1,1
35435,11,11/26/16,2/14/17,71362,47,1,1
35436,7,10/15/16,2/14/17,67052,55,1,1
35437,7,9/11/16,2/14/17,63780,43,1,1
35434,3,11/29/16,2/14/17,63128,62,1,1
35438,1,11/11/16,2/14/17,58283,8,1,1
35432,8,1/11/17,2/14/17,65481,43,1,1
35444,2,11/23/16,2/15/17,67844,46,1,1
35440,8,1/07/17,2/15/17,70026,34,1,1
35441,1,11/07/16,2/15/17,70390,16,1,1
35443,3,9/09/16,2/15/17,60495,11,1,1
35442,1,1/05/17,2/15/17,59858,19,1,1
35445,2,11/14/16,2/15/17,71360,75,1,1
35447,2,9/02/16,2/16/17,70780,64,1,1
35446,1,1/07/17,2/16/17,62255,28,1,1
35448,2,12/08/16,2/16/17,62715,3,1,1
35450,7,8/25/16,2/17/17,65468,7,1,1
35452,2,10/30/16,2/17/17,59542,67,1,1
35451,3,10/21/16,2/17/17,66855,27,1,1
35449,8,12/04/16,2/17/17,67979,11,1,1
35453,6,1/23/17,2/18/17,68109,49,1,1
35454,7,9/02/16,2/18/17,71893,42,1,1
35458,2,12/24/16,2/19/17,61035,48,1,1
35459,2,11/15/16,2/19/17,57509,49,1,1
35457,7,1/12/17,2/19/17,71367,14,1,1
35455,8,11/06/16,2/19/17,55482,27,1,1
35456,7,10/02/16,2/19/17,56481,38,1,1
35461,7,1/15/17,2/20/17,70492,53,1,1
35464,2,11/20/16,2/20/17,55203,57,1,1
35465,2,10/10/16,2/20/17,65993,27,1,1
35462,7,11/19/16,2/20/17,61283,47,1,1
35463,3,12/22/16,2/20/17,56228,60,1,1
35466,2,12/11/16,2/21/17,56263,54,1,1
35475,2,12/10/16,2/22/17,61219,12,1,1
35470,7,11/19/16,2/22/17,61277,51,1,1
35474,2,1/05/17,2/22/17,55137,26,1,1
35467,11,8/28/16,2/22/17,55702,17,1,1
35471,1,12/23/16,2/22/17,66817,73,1,1
35469,7,10/11/16,2/22/17,57717,30,1,1
35468,7,9/12/16,2/22/17,59004,46,1,1
35472,2,10/11/16,2/22/17,69974,64,1,1
35473,2,9/29/16,2/22/17,62973,62,1,1
35476,2,12/31/16,2/22/17,63309,65,1,1
35477,8,10/25/16,2/23/17,67036,50,1,1
35478,1,11/21/16,2/23/17,58695,67,1,1
35480,2,1/04/17,2/23/17,58117,22,1,1
35481,2,9/02/16,2/23/17,66675,47,1,1
35479,2,10/02/16,2/23/17,59145,35,1,1
35483,8,10/05/16,2/24/17,66373,56,1,1
35482,6,10/18/16,2/24/17,71809,12,1,1
35486,1,11/09/16,2/24/17,70684,72,1,1
35490,7,11/18/16,2/24/17,69714,50,1,1
35485,3,1/07/17,2/24/17,66331,32,1,1
35484,7,12/10/16,2/24/17,61531,36,1,1
35488,2,10/30/16,2/24/17,60197,69,1,1
35487,2,8/31/16,2/24/17,65133,61,1,1
35489,2,11/02/16,2/24/17,70328,20,1,1
35492,8,12/21/16,2/25/17,69359,64,1,1
35491,7,1/27/17,2/25/17,60311,65,1,1
35494,2,11/07/16,2/25/17,70974,48,1,1
35495,2,12/22/16,2/25/17,62374,4,1,1
35493,3,10/02/16,2/25/17,63530,31,1,1
35499,7,12/21/16,2/26/17,71502,56,1,1
35505,2,12/02/16,2/26/17,62977,65,1,1
35506,2,10/16/16,2/26/17,62077,40,1,1
35501,1,12/08/16,2/26/17,69420,62,1,1
35497,7,11/12/16,2/26/17,61958,50,1,1
35503,7,11/04/16,2/26/17,58013,9,1,1
35504,3,10/02/16,2/26/17,57316,19,1,1
35498,7,1/14/17,2/26/17,70141,39,1,1
35496,7,11/10/16,2/26/17,62082,19,1,1
35507,2,1/03/17,2/26/17,69638,30,1,1
35502,7,9/28/16,2/26/17,69563,62,1,1
35510,7,11/01/16,2/27/17,60695,22,1,1
35508,6,2/03/17,2/27/17,68230,69,1,1
35509,8,9/29/16,2/27/17,66537,52,1,1
35515,2,12/17/16,2/28/17,68018,52,1,1
35513,3,9/07/16,2/28/17,55327,5,1,1
35512,3,12/21/16,2/28/17,61561,32,1,1
35511,6,11/29/16,2/28/17,59442,59,1,1
35514,7,9/30/16,2/28/17,62862,34,1,1
35580,8,9/09/16,3/01/17,56288,28,1,1
35585,2,12/21/16,3/01/17,57143,63,1,1
35583,1,10/18/16,3/01/17,67503,1,1,1
35582,7,10/10/16,3/01/17,61919,32,1,1
35584,2,12/21/16,3/01/17,57330,26,1,1
35581,1,12/31/16,3/01/17,61626,71,1,1
35589,2,10/18/16,3/02/17,61868,20,1,1
35588,3,9/20/16,3/02/17,71815,56,1,1
35586,6,2/03/17,3/02/17,56205,47,1,1
35587,3,9/19/16,3/02/17,62496,61,1,1
35592,2,9/25/16,3/02/17,57313,21,1,1
35590,2,1/03/17,3/02/17,61647,70,1,1
35591,2,1/24/17,3/02/17,70863,68,1,1
35594,1,10/11/16,3/03/17,59628,29,1,1
35599,2,1/19/17,3/03/17,56537,4,1,1
35598,1,1/13/17,3/03/17,70353,55,1,1
35600,2,10/25/16,3/03/17,70746,55,1,1
35596,11,1/11/17,3/03/17,72719,16,1,1
35593,11,9/14/16,3/03/17,61090,57,1,1
35601,2,9/15/16,3/03/17,70120,51,1,1
35595,3,10/19/16,3/03/17,66585,20,1,1
35605,3,1/15/17,3/04/17,65090,36,1,1
35606,2,1/30/17,3/04/17,72850,23,1,1
35608,2,1/13/17,3/04/17,64925,12,1,1
35603,1,10/12/16,3/04/17,65956,60,1,1
35607,2,11/21/16,3/04/17,70805,64,1,1
35609,8,1/15/17,3/04/17,67109,61,1,1
35602,6,11/10/16,3/04/17,56127,75,1,1
35604,1,11/16/16,3/04/17,67168,69,1,1
35612,8,12/31/16,3/05/17,63188,17,1,1
35611,1,11/21/16,3/05/17,61743,59,1,1
35610,1,12/15/16,3/05/17,71231,26,1,1
35616,8,10/08/16,3/06/17,72716,34,1,1
35619,2,10/17/16,3/06/17,66571,22,1,1
35613,1,12/12/16,3/06/17,65772,36,1,1
35621,2,11/18/16,3/06/17,56374,18,1,1
35617,11,9/09/16,3/06/17,56235,9,1,1
35618,6,11/06/16,3/06/17,57811,9,1,1
35615,6,12/08/16,3/06/17,66110,73,1,1
35614,7,1/01/17,3/06/17,72230,62,1,1
35620,2,11/18/16,3/06/17,59443,61,1,1
35630,2,10/07/16,3/07/17,68796,74,1,1
35628,2,10/13/16,3/07/17,56254,33,1,1
35625,3,11/13/16,3/07/17,55725,21,1,1
35624,3,1/29/17,3/07/17,72662,26,1,1
35623,8,11/30/16,3/07/17,69889,9,1,1
35629,2,9/21/16,3/07/17,72218,5,1,1
35627,6,1/29/17,3/07/17,55947,44,1,1
35622,6,2/07/17,3/07/17,66603,48,1,1
35626,1,10/24/16,3/07/17,55473,68,1,1
35632,8,2/07/17,3/08/17,72895,58,1,1
35631,8,1/13/17,3/08/17,72762,75,1,1
35633,3,9/20/16,3/08/17,56186,55,1,1
35634,2,11/24/16,3/08/17,67904,75,1,1
35637,1,12/04/16,3/09/17,60552,46,1,1
35638,3,1/01/17,3/09/17,64423,72,1,1
35639,2,9/29/16,3/09/17,61297,26,1,1
35640,2,11/24/16,3/09/17,68083,8,1,1
35635,7,1/26/17,3/09/17,67960,32,1,1
35636,1,12/17/16,3/09/17,71443,71,1,1
35642,3,1/01/17,3/10/17,58715,69,1,1
35641,7,12/13/16,3/10/17,66565,19,1,1
35645,11,9/22/16,3/11/17,69605,26,1,1
35644,6,11/10/16,3/11/17,63183,52,1,1
35643,8,1/10/17,3/11/17,63810,23,1,1
35647,3,1/25/17,3/11/17,73070,27,1,1
35646,3,12/27/16,3/11/17,62134,35,1,1
35648,2,11/03/16,3/11/17,60740,49,1,1
35649,3,9/21/16,3/12/17,69062,6,1,1
35653,2,12/15/16,3/12/17,68357,11,1,1
35650,7,9/24/16,3/12/17,55550,65,1,1
35652,2,1/02/17,3/12/17,62343,40,1,1
35651,2,9/27/16,3/12/17,61609,58,1,1
35660,2,9/26/16,3/13/17,56579,12,1,1
35659,3,1/12/17,3/13/17,66420,26,1,1
35662,2,11/07/16,3/13/17,56567,46,1,1
35655,3,1/03/17,3/13/17,73008,27,1,1
35661,2,11/24/16,3/13/17,60919,71,1,1
35654,6,11/12/16,3/13/17,60158,41,1,1
35658,3,1/10/17,3/13/17,66698,11,1,1
35656,3,10/08/16,3/13/17,69221,34,1,1
35663,2,11/24/16,3/13/17,64516,10,1,1
35657,1,11/14/16,3/13/17,58190,69,1,1
35665,3,12/25/16,3/14/17,57265,34,1,1
35667,2,1/19/17,3/14/17,69436,49,1,1
35666,3,1/11/17,3/14/17,72406,74,1,1
35664,8,11/12/16,3/14/17,68214,72,1,1
35670,1,9/23/16,3/15/17,55602,27,1,1
35673,2,2/16/17,3/15/17,69976,7,1,1
35677,2,12/24/16,3/15/17,55293,74,1,1
35669,3,1/31/17,3/15/17,65600,24,1,1
35668,3,10/08/16,3/15/17,72456,44,1,1
35674,2,2/12/17,3/15/17,61325,71,1,1
35676,2,10/21/16,3/15/17,67810,10,1,1
35671,3,9/27/16,3/15/17,72655,25,1,1
35672,8,2/09/17,3/15/17,58922,72,1,1
35675,2,12/24/16,3/15/17,65886,63,1,1
35679,3,9/18/16,3/16/17,69463,67,1,1
35681,2,11/03/16,3/16/17,62917,66,1,1
35680,7,12/06/16,3/16/17,61031,23,1,1
35678,3,10/07/16,3/16/17,62135,50,1,1
35682,2,12/13/16,3/16/17,59540,8,1,1
35685,6,11/09/16,3/17/17,58104,20,1,1
35691,2,11/22/16,3/17/17,68861,22,1,1
35684,11,2/17/17,3/17/17,61614,8,1,1
35687,1,12/21/16,3/17/17,71619,30,1,1
35688,3,11/10/16,3/17/17,64928,73,1,1
35690,2,11/28/16,3/17/17,63928,7,1,1
35683,8,1/12/17,3/17/17,56666,19,1,1
35686,1,12/16/16,3/17/17,64000,52,1,1
35689,2,12/29/16,3/17/17,63670,47,1,1
35698,3,1/13/17,3/18/17,70588,52,1,1
35699,3,12/01/16,3/18/17,57261,51,1,1
35694,11,12/12/16,3/18/17,71380,57,1,1
35697,3,9/25/16,3/18/17,61490,7,1,1
35696,3,10/04/16,3/18/17,63106,50,1,1
35695,3,9/24/16,3/18/17,61542,4,1,1
35693,11,12/17/16,3/18/17,55949,22,1,1
35692,8,9/20/16,3/18/17,59241,56,1,1
35702,6,11/08/16,3/19/17,66364,57,1,1
35703,2,11/09/16,3/19/17,59846,24,1,1
35700,1,12/03/16,3/19/17,68249,20,1,1
35701,3,1/23/17,3/19/17,71313,50,1,1
35706,3,1/14/17,3/20/17,59336,61,1,1
35710,2,12/03/16,3/20/17,66451,54,1,1
35705,7,2/03/17,3/20/17,63379,72,1,1
35707,2,12/29/16,3/20/17,72582,28,1,1
35711,2,10/04/16,3/20/17,72097,30,1,1
35712,2,1/29/17,3/20/17,63275,13,1,1
35708,2,10/10/16,3/20/17,63641,55,1,1
35704,8,2/22/17,3/20/17,70978,60,1,1
35709,2,12/15/16,3/20/17,57749,49,1,1
35714,3,11/16/16,3/21/17,67308,65,1,1
35713,11,11/14/16,3/21/17,56837,3,1,1
35715,2,11/14/16,3/21/17,58323,62,1,1
35716,2,10/26/16,3/21/17,60325,21,1,1
35721,2,2/02/17,3/22/17,59385,14,1,1
35717,1,1/12/17,3/22/17,68252,2,1,1
35719,7,2/20/17,3/22/17,66025,68,1,1
35718,3,12/18/16,3/22/17,67869,23,1,1
35722,2,10/24/16,3/22/17,60209,33,1,1
35720,2,2/13/17,3/22/17,65609,59,1,1
35723,3,1/27/17,3/23/17,61979,53,1,1
35726,6,2/02/17,3/23/17,66097,44,1,1
35724,6,2/17/17,3/23/17,65192,65,1,1
35727,2,2/12/17,3/23/17,68744,61,1,1
35725,8,10/22/16,3/23/17,66728,37,1,1
35738,2,12/31/16,3/24/17,55314,17,1,1
35735,2,12/08/16,3/24/17,59368,58,1,1
35732,3,2/22/17,3/24/17,63201,33,1,1
35734,1,1/20/17,3/24/17,55911,55,1,1
35731,3,3/01/17,3/24/17,70032,55,1,1
35737,2,1/17/17,3/24/17,70512,52,1,1
35739,2,1/23/17,3/24/17,71279,57,1,1
35728,8,1/27/17,3/24/17,70703,39,1,1
35736,2,10/23/16,3/24/17,56980,43,1,1
35730,6,1/03/17,3/24/17,70954,55,1,1
35729,11,2/21/17,3/24/17,55361,38,1,1
35733,3,10/26/16,3/24/17,63351,19,1,1
35742,2,2/28/17,3/25/17,56656,32,1,1
35744,2,2/03/17,3/25/17,59841,58,1,1
35741,2,1/31/17,3/25/17,61972,55,1,1
35740,2,2/08/17,3/25/17,59933,4,1,1
35743,2,12/07/16,3/25/17,70819,39,1,1
35753,2,10/18/16,3/26/17,72020,52,1,1
35751,3,2/18/17,3/26/17,59002,9,1,1
35752,2,11/08/16,3/26/17,71955,59,1,1
35747,3,2/17/17,3/26/17,61951,68,1,1
35745,11,2/25/17,3/26/17,56724,64,1,1
35750,1,10/15/16,3/26/17,69780,51,1,1
35749,8,11/09/16,3/26/17,64935,15,1,1
35748,6,1/02/17,3/26/17,66659,66,1,1
35746,7,2/04/17,3/26/17,71658,5,1,1
35754,1,10/18/16,3/27/17,72022,31,1,1
35755,3,10/04/16,3/27/17,63875,54,1,1
35756,3,2/12/17,3/27/17,65961,31,1,1
35760,3,2/22/17,3/28/17,66740,15,1,1
35762,6,2/24/17,3/28/17,63551,62,1,1
35764,2,10/09/16,3/28/17,67559,9,1,1
35761,3,2/20/17,3/28/17,61423,11,1,1
35758,11,1/02/17,3/28/17,63541,68,1,1
35763,2,1/01/17,3/28/17,69762,28,1,1
35759,3,12/21/16,3/28/17,71557,63,1,1
35757,6,3/01/17,3/28/17,60595,55,1,1
35769,3,11/19/16,3/29/17,57652,39,1,1
